"Genera","Step_I","Step_II","Step_III_m","Step_III_f","Step_IV"
"methylosinus","0","0","0","14","5"
"kosmotoga","3570","1949","3","8","9"
"mogibacterium","0","0","0","11","4"
"parvimonas","3","3","0","13","6"
"thermoflavimicrobium","32","70","0","11","4"
"coxiella","9","15","32","19","5"
"eubacterium","25","14","3","22","12"
"aquimonas","0","0","0","6","9"
"thermoanaerobaculum","0","0","0","12","8"
"bifidobacterium","0","0","0","4","11"
"fusobacterium","44","188","11","51","29"
"nitrospira","10","2","0","14","5"
"alistipes","0","0","0","0","14"
"desulfobacca","11","6","4","7","10"
"acidaminococcus","7","4","10","5","15"
"akkermansia","0","0","0","4","10"
"carboxydothermus","11","5","0","9","6"
"veillonella","0","0","0","5","8"
"candidatusmagnetananas","0","0","0","8","6"
"oxalophagus","0","0","0","11","21"
"fusibacter","48","15","3","8","4"
"opitutus","0","11","0","23","14"
"neochlamydia","0","0","8","11","2"
"imtechium","0","0","0","7","11"
"dechloromonas","11","8","0","10","28"
"guggenheimella","8","9","8","6","7"
"collinsella","0","0","0","6","10"
"fretibacterium","0","0","0","11","0"
"sulfurimonas","20","0","0","10","6"
"laribacter","3","0","0","11","0"
"methanomethylovorans","0","0","0","10","0"
"finegoldia","330","416","7","10","8"
"gordonia","0","0","0","0","9"
"rhodobacter","0","0","0","12","18"
"enhydrobacter","17","0","0","17","0"
"stella","0","0","0","8","0"
"anaerofilum","0","0","0","9","0"
"tetrasphaera","0","0","0","3","6"
"prosthecobacter","0","7","0","9","0"
"olsenella","0","2","0","3","8"
"geovibrio","0","0","0","8","0"
"desulfuromonas","14","27","6","20","9"
"dysgonomonas","0","0","0","10","13"
"owenweeksia","30","12","3","5","3"
"methylomonas","134","15","0","3","6"
"gemmobacter","0","0","0","7","5"
"methanomassiliicoccus","7","9","7","7","2"
"desulfoglaeba","2","0","18","4","3"
"stenotrophomonas","0","0","0","6","7"
"perlucidibaca","0","0","0","0","8"
"leptonema","4","0","0","0","6"
"parasutterella","0","0","0","6","2"
"zymophilus","0","0","0","4","0"
